categorie,logiciel_libre_mac,logiciel_proprietaire,fonctionnalite,logiciel_libre_windows,logiciel_libre_linux,logiciel_libre_bsd
Bureautique,"GNOME Office,KOffice,LibreOffice,OpenOffice.org,NeoOffice,Siag Office","iWork,Microsoft Office,StarOffice,Lotus Symphony,Kingsoft Office",Suite bureautique,"LibreOffice,OpenOffice.org,KOffice","GNOME Office,KOffice,LibreOffice,OpenOffice.org,Siag Office","Siag Office,LibreOffice,OpenOffice.org,KOffice"
Bureautique,"AbiWord,KWord,LibO Writer,OOo Writer,Pathetic Writer","Microsoft Word,WordPad,Pages,Lotus Symphony Documents",Traitement de texte,"AbiWord,LibO Writer,OOo Writer","AbiWord,KWord,LibO Writer,OOo Writer,Pathetic Writer","AbiWord,LibO Writer,OOo Writer,Pathetic Writer"
Bureautique,"Firebird,Kexi,MariaDB,MySQL,PostgreSQL,LibO Base,OOo Base","FileMaker Pro,IBM DB2,Microsoft Access,Microsoft SQL Server,Oracle",Système de gestion de base de données,"Firebird,Ingres,MariaDB,MySQL,PostgreSQL,LibO Base,OOo Base","Berkeley DB,Firebird,Ingres,Kexi,MariaDB,MySQL,PostgreSQL,LibO Base,OOo Base","Berkeley DB,Firebird,MariaDB,MySQL,PostgreSQL,LibO Base,OOo Base"
Bureautique,"Gnumeric,KSpread,LibO Calc,OOo Calc,Siag","Microsoft Excel,Lotus Symphony Spreadsheets,iWork Numbers",Tableur,"Gnumeric,LibO Calc,OOo Calc","Gnumeric,KSpread,LibO Calc,OOo Calc,Siag","Gnumeric,LibO Calc,OOo Calc,Siag"
Bureautique,"Dia,Kivio,LibO Draw,OOo Draw","Microsoft Visio,OmniGraffle","Création de ,diagrammes","Dia,LibO Draw,OOo Draw","Dia,Kivio,LibO Draw,OOo Draw,Umbrello","Dia,LibO Draw,OOo Draw"
Bureautique,"KPresenter,LibO Impress,OOo Impress,Prosper,Open-Sankoré","Keynote,Microsoft Office PowerPoint,Lotus Symphony Presentations","Création de ,présentations","LibO Impress,OOo Impress,Open-Sankoré","KPresenter,LibO Impress,OOo Impress,Prosper,Open-Sankoré","LibO Impress,OOo Impress,Prosper"
Bureautique,"ProjectLibre,Dotproject,GanttProject,OpenProj,eGroupWare","Microsoft Project,VisualProjet",Gestion de projets,"ProjectLibre,Dotproject,GanttProject,Open Workbench,OpenProj,eGroupWare","ProjectLibre,Dotproject,GanttProject,Outreach,Planner,OpenProj,eGroupWare,FengOffice","Dotproject,GanttProject,Planner,OpenProj,eGroupWare,FengOffice"
Bureautique,"Kontact,Novell Evolution,Open-Xchange,OpenGroupware","Lotus Notes,Microsoft Entourage,Microsoft Outlook",Groupware,"Open-Xchange,OpenGroupware,Novell Evolution","Balsa,Kontact,SOGo,Open-Xchange,OpenGroupware,Citadel,TheBugGenie,BlueMind",Balsa
Bureautique,"GnuCash,Grisbi,HomeBank","Microsoft Money,Intuit Quicken",Comptabilité personnelle,"GnuCash,Grisbi,KMyMoney,HomeBank","Eqonomize,GnuCash,Grisbi,KMyMoney,HomeBank","Eqonomize,GnuCash,Grisbi,KMyMoney"
Graphisme,LibreCAD,"3D Turbo,AutoCAD,Bocad,Qcad",Dessin assisté par ordinateur,LibreCAD,"Qcad,SagCAD,python-CAD,LibreCAD","Qcad,LibreCAD"
